,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
133,ACE,RAPGEF6,0.9459459459459459,CELSR3,0.9428571428571428,TEF,0.9428571428571428,PRKD1,0.918918918918919,PARD6B,0.918918918918919
134,ACE2,MYOG,0.8181818181818182,KCNG1,0.8095238095238095,TBX18,0.7727272727272727,KCNV2,0.7619047619047619,MYF6,0.75
135,ACER1,SS18L2,0.7857142857142857,PHYHIPL,0.75,KCNG1,0.7222222222222222,HSPA13,0.7222222222222222,STOML1,0.7058823529411765
136,ACER2,RASSF8,0.8709677419354839,EPB41L5,0.8484848484848485,KCTD2,0.8484848484848485,BMP2,0.8484848484848485,DAB2,0.84375
137,ACER3,AIFM2,0.6458333333333334,OMA1,0.6181818181818182,CYBB,0.6153846153846154,ACAA1,0.6101694915254238,MSMO1,0.6037735849056604
138,ACHE,MED12,0.8,NR5A2,0.7631578947368421,ERBB3,0.7631578947368421,CACNB4,0.75,NKX2-2,0.7435897435897436
139,ACIN1,STRC,0.75,KRT18,0.7272727272727273,BHLHE41,0.7272727272727273,CHRNE,0.7272727272727273,CGN,0.7272727272727273
140,ACKR1,OR5A1,1.0,TCEAL6,1.0,PRM3,1.0,SYNE4,1.0,PRR23B,1.0
141,ACKR2,SNTN,1.0,PTH,1.0,OR52R1,1.0,IL21,1.0,SIRPA,1.0
142,ACKR3,TMEM196,1.0,WIZ,1.0,CDH26,1.0,KRT14,1.0,COBL,1.0
143,ACKR4,PTX3,1.0,PRDM15,1.0,FAM193B,1.0,OLFM4,1.0,OCLN,1.0
144,ACLY,NDUFS4,0.821917808219178,EIF3K,0.8169014084507042,CHDH,0.8157894736842105,ETFDH,0.8125,GID8,0.8076923076923077
145,ACMSD,CLYBL,0.6875,TPP1,0.6829268292682927,CYBB,0.66,AACS,0.6363636363636364,PCCB,0.6346153846153846
146,ACO1,MGRN1,0.7534246575342466,UFL1,0.7534246575342466,ALDOB,0.7532467532467533,ALDOA,0.7368421052631579,ALDOC,0.7368421052631579
147,ACO2,SLC25A36,0.8571428571428571,CAB39,0.8481012658227848,HCCS,0.8311688311688312,TIMM22,0.8266666666666667,NUP155,0.8227848101265823
148,ACOT1,ACOT2,1.0,MRC2,0.8947368421052632,MORC2,0.8571428571428571,DSEL,0.8333333333333334,ANKRD10,0.8333333333333334
149,ACOT11,ACOT12,0.75,GOLIM4,0.6842105263157895,PLEK,0.6666666666666666,CENPL,0.6666666666666666,PPARGC1A,0.65
150,ACOT12,ACOT11,0.75,RWDD3,0.5714285714285714,FAM81B,0.5555555555555556,C6orf62,0.5555555555555556,GREB1,0.55
151,ACOT13,UMPS,0.7285714285714285,LARP1,0.7272727272727273,WDR20,0.7272727272727273,MYO5A,0.7246376811594203,KDM5B,0.7246376811594203
152,ACOT2,ACOT1,1.0,MRC2,0.8947368421052632,MORC2,0.8571428571428571,DSEL,0.8333333333333334,ANKRD10,0.8333333333333334
153,ACOT4,MRC2,0.8333333333333334,ACOT1,0.8333333333333334,ACOT2,0.8333333333333334,PON2,0.7368421052631579,PLA2R1,0.7222222222222222
154,ACOT6,PYDC1,1.0,PXT1,1.0,PSORS1C1,1.0,PSG9,1.0,PSG8,1.0
155,ACOT7,CCNF,0.8823529411764706,STXBP4,0.8823529411764706,CEP85,0.8235294117647058,HVCN1,0.8125,FAM72D,0.7777777777777778
156,ACOT8,IDNK,0.6470588235294118,AGMAT,0.5833333333333334,IDO2,0.5777777777777777,LGSN,0.574468085106383,FOLH1,0.5740740740740741
157,ACOT9,PHYHD1,0.7638888888888888,ACOX1,0.76,HAO1,0.7466666666666667,D2HGDH,0.7402597402597403,LIN54,0.7361111111111112
158,ACOX1,HSD17B4,0.8648648648648649,PEX5,0.8481012658227848,HAO1,0.8311688311688312,SLC25A20,0.8271604938271605,PHYHD1,0.8266666666666667
159,ACOX2,ACOX1,0.8169014084507042,FBP2,0.7215189873417721,FBP2,0.7215189873417721,XRCC6,0.7162162162162162,HSD17B4,0.7123287671232876
160,ACOX3,UPB1,0.7358490566037735,PTBP1,0.7321428571428571,CCDC47,0.7,TRABD,0.6909090909090909,PTBP3,0.6896551724137931
161,ACOXL,FBXO3,0.625,TTC13,0.6129032258064516,ALOX15B,0.5833333333333334,CYP26C1,0.5806451612903226,ALOXE3,0.5675675675675675
162,ACP1,RPTOR,0.8214285714285714,DAD1,0.8133333333333334,FBXL20,0.8051948051948052,CAB39,0.8048780487804879,PPP2R2A,0.8048780487804879
163,ACP2,PAH,0.7936507936507936,RALGAPA2,0.7931034482758621,MOB4,0.7868852459016393,TMEM104,0.7796610169491526,RALGAPA1,0.7758620689655172
164,ACP5,SRSF12,0.6181818181818182,MFSD5,0.6129032258064516,AP4M1,0.603448275862069,GCAT,0.6,SAP18,0.5970149253731343
165,ACP6,RDH8,0.5434782608695652,PLBD1,0.5098039215686274,ORMDL1,0.5084745762711864,RABEPK,0.5,MPST,0.5
166,ACR,FAM174A,0.8571428571428571,OR10A5,0.8571428571428571,REG4,0.8571428571428571,OR10A4,0.8571428571428571,OR51E2,0.8571428571428571
167,ACRBP,MSLN,1.0,EPB42,1.0,FAS,1.0,ACD,1.0,RARRES2,1.0
168,ACRV1,CXCL6,1.0,PRR3,1.0,OR5K4,1.0,CCDC107,1.0,C9orf43,1.0
169,ACSBG1,ACSBG2,0.9347826086956522,ELMOD1,0.673469387755102,ACSS3,0.6666666666666666,MAP3K9,0.6615384615384615,TRAP1,0.65625
170,ACSBG2,ACSBG1,0.9347826086956522,GGH,0.6666666666666666,ACADS,0.66,ELMOD1,0.6530612244897959,ACSS3,0.6481481481481481
171,ACSF2,NAA35,0.8356164383561644,PHYHD1,0.821917808219178,VPS36,0.8148148148148148,VPS54,0.8133333333333334,HSD17B4,0.8108108108108109
172,ACSF3,CHAC2,0.8205128205128205,ALG9,0.8125,ACACB,0.7951807228915663,GCSH,0.7926829268292683,PFKFB2,0.7926829268292683
173,ACSL1,ACSL5,0.978021978021978,ACSL6,0.967032967032967,UBA1,0.9191919191919192,MCM6,0.9191919191919192,EIF2S3,0.91
174,ACSL3,ACSL4,0.9142857142857143,HMGCR,0.7721518987341772,MTMR7,0.759493670886076,UGP2,0.7590361445783133,RPTOR,0.7586206896551724
175,ACSL4,ACSL3,0.9142857142857143,HMGCR,0.7894736842105263,PGRMC1,0.75,PFKP,0.7468354430379747,CPSF1,0.7294117647058823
176,ACSL5,ACSL1,0.978021978021978,ACSL6,0.945054945054945,UBA1,0.898989898989899,MCM6,0.898989898989899,DKC1,0.898989898989899
177,ACSL6,ACSL1,0.967032967032967,ACSL5,0.945054945054945,UBA1,0.8888888888888888,MCM6,0.8888888888888888,FARSB,0.8877551020408163
