gene_name,complex_id
ACTL6B,CPX-1202
SMARCA2,CPX-1202
ACTB,CPX-1202
SMARCB1,CPX-1202
SMARCD3,CPX-1202
SMARCC2,CPX-1202
DPF1,CPX-1202
DPF3,CPX-1202
SMARCC1,CPX-1202
SMARCE1,CPX-1202
SMARCD1,CPX-1202
ARID1A,CPX-1203
ACTL6B,CPX-1203
SMARCA2,CPX-1203
ACTB,CPX-1203
SMARCB1,CPX-1203
SMARCC2,CPX-1203
SMARCD2,CPX-1203
SMARCE1,CPX-1203
ARID1A,CPX-1204
ACTL6A,CPX-1204
SMARCA4,CPX-1204
ACTB,CPX-1204
SMARCB1,CPX-1204
SMARCD3,CPX-1204
SMARCC2,CPX-1204
SMARCC1,CPX-1204
SMARCD2,CPX-1204
SMARCE1,CPX-1204
SMARCD1,CPX-1204
ACTL6A,CPX-1205
SMARCA2,CPX-1205
ACTB,CPX-1205
SMARCB1,CPX-1205
SMARCD3,CPX-1205
ARID1B,CPX-1205
SMARCC2,CPX-1205
SMARCC1,CPX-1205
SMARCD2,CPX-1205
SMARCE1,CPX-1205
SMARCD1,CPX-1205
ACTL6A,CPX-1206
SMARCA4,CPX-1206
ACTB,CPX-1206
SMARCB1,CPX-1206
SMARCD3,CPX-1206
ARID1B,CPX-1206
SMARCC2,CPX-1206
SMARCC1,CPX-1206
SMARCD2,CPX-1206
SMARCE1,CPX-1206
